material,unit,biobased_type,structural_type,buildingType,tons
aluminium,tons,none,foundation,A,0.0
brick,tons,none,foundation,A,0.0
cement_cover-floor,m3,none,foundation,A,0.0
concrete_in-situ,m3,none,foundation,A,200.0
concrete_prefab,tons,none,foundation,A,0.0
furnishing_stone,tons,none,foundation,A,0.0
glass,m3,none,foundation,A,0.0
gravel_sand,tons,none,foundation,A,0.0
gypsum,tons,none,foundation,A,0.0
isolation,m3,none,foundation,A,0.0
plastic,tons,none,foundation,A,0.0
rubber,tons,none,foundation,A,0.0
steel,tons,none,foundation,A,50.0
timber,tons,none,foundation,A,0.0
aluminium,tons,none,structural,A,10.0
brick,tons,none,structural,A,150.0
cement_cover-floor,m3,none,structural,A,40.0
concrete_in-situ,m3,none,structural,A,250.0
concrete_prefab,tons,none,structural,A,150.0
furnishing_stone,tons,none,structural,A,20.0
glass,m3,none,structural,A,50.0
gravel_sand,tons,none,structural,A,250.0
gypsum,tons,none,structural,A,30.0
isolation,m3,none,structural,A,20.0
plastic,tons,none,structural,A,10.0
rubber,tons,none,structural,A,5.0
steel,tons,none,structural,A,100.0
timber,tons,none,structural,A,30.0
aluminium,tons,none,non-structural,A,5.0
brick,tons,none,non-structural,A,75.0
cement_cover-floor,m3,none,non-structural,A,20.0
concrete_in-situ,m3,none,non-structural,A,125.0
concrete_prefab,tons,none,non-structural,A,75.0
furnishing_stone,tons,none,non-structural,A,10.0
glass,m3,none,non-structural,A,25.0
gravel_sand,tons,none,non-structural,A,125.0
gypsum,tons,none,non-structural,A,15.0
isolation,m3,none,non-structural,A,10.0
plastic,tons,none,non-structural,A,5.0
rubber,tons,none,non-structural,A,3.0
steel,tons,none,non-structural,A,50.0
timber,tons,none,non-structural,A,15.0
modules,number,none,non-structural,A,50.0
aluminium,tons,semi,foundation,A,0.0
brick,tons,semi,foundation,A,0.0
cement_cover-floor,m3,semi,foundation,A,0.0
concrete_in-situ,m3,semi,foundation,A,160.0
concrete_prefab,tons,semi,foundation,A,0.0
furnishing_stone,tons,semi,foundation,A,0.0
glass,m3,semi,foundation,A,0.0
gravel_sand,tons,semi,foundation,A,0.0
gypsum,tons,semi,foundation,A,0.0
isolation,m3,semi,foundation,A,0.0
plastic,tons,semi,foundation,A,0.0
rubber,tons,semi,foundation,A,0.0
steel,tons,semi,foundation,A,40.0
timber,tons,semi,foundation,A,0.0
aluminium,tons,semi,structural,A,8.0
brick,tons,semi,structural,A,120.0
cement_cover-floor,m3,semi,structural,A,32.0
concrete_in-situ,m3,semi,structural,A,200.0
concrete_prefab,tons,semi,structural,A,120.0
furnishing_stone,tons,semi,structural,A,16.0
glass,m3,semi,structural,A,40.0
gravel_sand,tons,semi,structural,A,200.0
gypsum,tons,semi,structural,A,24.0
isolation,m3,semi,structural,A,16.0
plastic,tons,semi,structural,A,8.0
rubber,tons,semi,structural,A,4.0
steel,tons,semi,structural,A,80.0
timber,tons,semi,structural,A,24.0
aluminium,tons,semi,non-structural,A,5.0
brick,tons,semi,non-structural,A,0.0
cement_cover-floor,m3,semi,non-structural,A,0.0
concrete_in-situ,m3,semi,non-structural,A,0.0
concrete_prefab,tons,semi,non-structural,A,0.0
furnishing_stone,tons,semi,non-structural,A,10.0
glass,m3,semi,non-structural,A,25.0
gravel_sand,tons,semi,non-structural,A,0.0
gypsum,tons,semi,non-structural,A,15.0
isolation,m3,semi,non-structural,A,10.0
plastic,tons,semi,non-structural,A,0.0
rubber,tons,semi,non-structural,A,3.0
steel,tons,semi,non-structural,A,50.0
timber,tons,semi,non-structural,A,80.0
modules,number,semi,non-structural,A,50.0
aluminium,tons,full,foundation,A,0.0
brick,tons,full,foundation,A,0.0
cement_cover-floor,m3,full,foundation,A,0.0
concrete_in-situ,m3,full,foundation,A,160.0
concrete_prefab,tons,full,foundation,A,0.0
furnishing_stone,tons,full,foundation,A,0.0
glass,m3,full,foundation,A,0.0
gravel_sand,tons,full,foundation,A,0.0
gypsum,tons,full,foundation,A,0.0
isolation,m3,full,foundation,A,0.0
plastic,tons,full,foundation,A,0.0
rubber,tons,full,foundation,A,0.0
steel,tons,full,foundation,A,40.0
timber,tons,full,foundation,A,0.0
aluminium,tons,full,structural,A,0.0
brick,tons,full,structural,A,0.0
cement_cover-floor,m3,full,structural,A,0.0
concrete_in-situ,m3,full,structural,A,0.0
concrete_prefab,tons,full,structural,A,0.0
furnishing_stone,tons,full,structural,A,0.0
glass,m3,full,structural,A,0.0
gravel_sand,tons,full,structural,A,0.0
gypsum,tons,full,structural,A,0.0
isolation,m3,full,structural,A,0.0
plastic,tons,full,structural,A,0.0
rubber,tons,full,structural,A,0.0
steel,tons,full,structural,A,0.0
timber,tons,full,structural,A,750.0
aluminium,tons,full,non-structural,A,5.0
brick,tons,full,non-structural,A,0.0
cement_cover-floor,m3,full,non-structural,A,0.0
concrete_in-situ,m3,full,non-structural,A,0.0
concrete_prefab,tons,full,non-structural,A,0.0
furnishing_stone,tons,full,non-structural,A,10.0
glass,m3,full,non-structural,A,25.0
gravel_sand,tons,full,non-structural,A,0.0
gypsum,tons,full,non-structural,A,15.0
isolation,m3,full,non-structural,A,10.0
plastic,tons,full,non-structural,A,0.0
rubber,tons,full,non-structural,A,3.0
steel,tons,full,non-structural,A,50.0
timber,tons,full,non-structural,A,80.0
modules,number,full,non-structural,A,50.0
aluminium,tons,extreme,foundation,A,0.0
brick,tons,extreme,foundation,A,0.0
cement_cover-floor,m3,extreme,foundation,A,0.0
concrete_in-situ,m3,extreme,foundation,A,0.0
concrete_prefab,tons,extreme,foundation,A,0.0
furnishing_stone,tons,extreme,foundation,A,0.0
glass,m3,extreme,foundation,A,0.0
gravel_sand,tons,extreme,foundation,A,0.0
gypsum,tons,extreme,foundation,A,0.0
isolation,m3,extreme,foundation,A,0.0
plastic,tons,extreme,foundation,A,0.0
rubber,tons,extreme,foundation,A,0.0
steel,tons,extreme,foundation,A,0.0
timber,tons,extreme,foundation,A,500.0
aluminium,tons,extreme,structural,A,0.0
brick,tons,extreme,structural,A,0.0
cement_cover-floor,m3,extreme,structural,A,0.0
concrete_in-situ,m3,extreme,structural,A,0.0
concrete_prefab,tons,extreme,structural,A,0.0
furnishing_stone,tons,extreme,structural,A,0.0
glass,m3,extreme,structural,A,0.0
gravel_sand,tons,extreme,structural,A,0.0
gypsum,tons,extreme,structural,A,0.0
isolation,m3,extreme,structural,A,0.0
plastic,tons,extreme,structural,A,0.0
rubber,tons,extreme,structural,A,0.0
steel,tons,extreme,structural,A,0.0
timber,tons,extreme,structural,A,750.0
aluminium,tons,extreme,non-structural,A,5.0
brick,tons,extreme,non-structural,A,0.0
cement_cover-floor,m3,extreme,non-structural,A,0.0
concrete_in-situ,m3,extreme,non-structural,A,0.0
concrete_prefab,tons,extreme,non-structural,A,0.0
furnishing_stone,tons,extreme,non-structural,A,10.0
glass,m3,extreme,non-structural,A,25.0
gravel_sand,tons,extreme,non-structural,A,0.0
gypsum,tons,extreme,non-structural,A,15.0
isolation,m3,extreme,non-structural,A,10.0
plastic,tons,extreme,non-structural,A,0.0
rubber,tons,extreme,non-structural,A,3.0
steel,tons,extreme,non-structural,A,50.0
timber,tons,extreme,non-structural,A,80.0
modules,number,extreme,non-structural,A,50.0
aluminium,tons,none,foundation,B,0.0
brick,tons,none,foundation,B,0.0
cement_cover-floor,m3,none,foundation,B,0.0
concrete_in-situ,m3,none,foundation,B,400.0
