material,m3_to_t,main_unit,multiplicator_material,perc_fill_material,perc_fill_operational,perc_fill_total,supplier_type
aluminium,2.7,tons,1.25,0.8,0.8,0.6400000000000001,international_close
brick,2.0,tons,1.25,0.8,0.8,0.6400000000000001,national
cement_cover-floor,2.2,tons,1.1,0.9090909090909091,0.8,0.7272727272727273,national
concrete_in-situ,2.4,tons,1.0,1.0,0.8,0.8,national
concrete_prefab,2.4,tons,1.25,0.8,0.8,0.6400000000000001,national
furnishing_stone,2.7,tons,1.2,0.8333333333333334,0.8,0.6666666666666667,national
glass,2.5,tons,1.25,0.8,0.8,0.6400000000000001,international_close
gravel_sand,1.6,tons,1.0,1.0,0.8,0.8,international_close
gypsum,2.3,tons,1.25,0.8,0.8,0.6400000000000001,international_close
isolation,0.05,m3,1.1,0.9090909090909091,0.8,0.7272727272727273,international_far
plastic,0.9,m3,1.3,0.7692307692307692,0.8,0.6153846153846154,international_far
rubber,1.1,tons,1.1,0.9090909090909091,0.8,0.7272727272727273,international_close
steel,7.8,tons,1.5,0.6666666666666666,0.8,0.5333333333333333,national
timber,0.7,tons,1.3,0.7692307692307692,0.8,0.6153846153846154,international_far
modules,,n,,,,,international_far
