year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
2023,0.0,0.0,0.0,0.0,0.0,{},{},0.0,0.0,0.0
2024,801.2375405352938,9.772889468503909,402.74735042669045,3.0237974409448727,1216.781577871433,"{'concrete_in-situ': 317.72206323959153, 'gravel_sand': 85.02528718709873, 'timber': 4.887989763779513, 'steel': 1.86419232283464, 'modules': 807.2820453581284}",{},5425759.440479156,54838.486082955045,109676.97216591009
2025,2841.5657010598293,37.48373297244086,1468.2768114101264,7.626319488188953,4354.952564930585,"{'concrete_in-situ': 1205.2644460282454, 'gravel_sand': 263.01236538188095, 'timber': 12.20409419291335, 'steel': 9.301427066929106, 'modules': 2865.1702322606166}",{},19028047.003437676,185840.78777909593,371681.57555819186
2026,4500.032224515832,62.64780354330693,2802.5472452507074,8.411140748031471,7373.6384140578775,"{'concrete_in-situ': 2300.154884093571, 'gravel_sand': 502.3923611571331, 'timber': 18.253569980314904, 'steel': 14.424530019685, 'modules': 4538.413068807171}",{},32699634.781684898,329057.8181612032,658115.6363224064
2027,5526.91527786435,82.28426899606274,4219.390260080635,11.7281176181102,9840.317924559156,"{'concrete_in-situ': 3495.023477851173, 'gravel_sand': 724.366782229454, 'timber': 26.544547736220384, 'steel': 18.520524212598367, 'modules': 5575.8625925297065}",{},44133123.344533786,456238.09148082725,912476.1829616545
2028,6425.018013726412,97.58470984251936,5465.2789693781615,14.791951476377907,12002.67364442347,"{'concrete_in-situ': 4561.429036222588, 'gravel_sand': 903.8499331555632, 'timber': 31.873609842519574, 'steel': 23.337603838582602, 'modules': 6482.183461364211}",{},53998934.37017721,560580.6096952,1121161.2193904
2029,7057.161398257752,106.01976496062957,6238.058610197958,15.462682381889717,13416.702455798228,"{'concrete_in-situ': 5199.0780590859895, 'gravel_sand': 1038.9805511119614, 'timber': 34.860675885826645, 'steel': 25.365837992125904, 'modules': 7118.417331722323}",{},60588891.5963341,633698.1097115048,1267396.2194230095
2030,7856.719195521483,122.21049212598385,7019.765494039611,18.57902037401569,15017.274202061095,"{'concrete_in-situ': 5868.089509410427, 'gravel_sand': 1151.6759846291802, 'timber': 40.44962539370064, 'steel': 29.048355413385732, 'modules': 7928.0107272144005}",{},67756996.48027925,707505.3339172734,1415010.6678345469
2031,8347.764145241576,132.70212933070823,7548.30150026995,20.84072864173222,16049.608503483965,"{'concrete_in-situ': 6321.643376317813, 'gravel_sand': 1226.6581239521354, 'timber': 44.451305610236055, 'steel': 30.788327362204623, 'modules': 8426.06737024158}",{},72404459.29018965,755605.6438183152,1511211.2876366305
2032,8347.764145241576,134.5062938976374,7875.880212498036,22.12323749999993,16380.273889137248,"{'concrete_in-situ': 6609.641906862393, 'gravel_sand': 1266.2383056356416, 'timber': 46.63589675196833, 'steel': 31.690409645669185, 'modules': 8426.06737024158}",{},74028754.98824899,774961.7967773746,1549923.5935547492
2033,8347.764145241576,136.31045846456655,8053.437379648467,22.12323749999993,16559.63522085461,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 47.5379790354329, 'steel': 32.59249192913375, 'modules': 8426.06737024158}",{},74802232.08986068,782581.5287589508,1565163.0575179015
2034,8347.764145241576,136.31045846456655,8053.437379648467,22.12323749999993,16559.63522085461,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 47.5379790354329, 'steel': 32.59249192913375, 'modules': 8426.06737024158}",{},74802232.08986068,782581.5287589508,1565163.0575179015
