year,material,emissions
2023,aluminium,0.0
2023,brick,0.0
2023,cement_cover-floor,0.0
2023,concrete_in-situ,0.0
2023,concrete_prefab,0.0
2023,furnishing_stone,0.0
2023,glass,0.0
2023,gravel_sand,0.0
2023,gypsum,0.0
2023,isolation,0.0
2023,steel,0.0
2023,bitumen,0.0
2023,plaster,0.0
2024,aluminium,36.69392521161738
2024,brick,112.14684948329072
2024,cement_cover-floor,16.535401008956462
2024,concrete_in-situ,728.7169188727398
2024,concrete_prefab,4490.863501473643
2024,furnishing_stone,192.79108063511924
2024,glass,3610.7284816402243
2024,gravel_sand,70.97318155163036
2024,gypsum,1085.043296859839
2024,isolation,182.0571451861729
2024,steel,163.80551706079888
2024,bitumen,5.011603334978298
2024,plaster,0.43770606231504805
2025,aluminium,114.18431152241367
2025,brick,378.97665151881984
2025,cement_cover-floor,68.51149739946922
2025,concrete_in-situ,2815.2228770936463
2025,concrete_prefab,14738.01309379755
2025,furnishing_stone,671.3496419684333
2025,glass,12151.055057393194
2025,gravel_sand,219.9079190264152
2025,gypsum,3541.0800700059813
2025,isolation,594.8562956142936
2025,steel,568.3669359205227
2025,bitumen,15.679610536666916
2025,plaster,1.7300232845333687
2026,aluminium,218.23242196761294
2026,brick,728.3318870173629
2026,cement_cover-floor,133.89156183526234
2026,concrete_in-situ,5406.237634314808
2026,concrete_prefab,27865.020515283948
2026,furnishing_stone,1273.050951106413
2026,glass,23137.174684236412
2026,gravel_sand,418.94099594838326
2026,gypsum,6753.980322071985
2026,isolation,1126.1105852927387
2026,steel,1071.8292914272736
2026,bitumen,30.078574727198788
2026,plaster,3.4368451574978285
2027,aluminium,314.723766094515
2027,brick,1086.4276837860061
2027,cement_cover-floor,210.0176089265542
2027,concrete_in-situ,8284.229335341164
2027,concrete_prefab,41210.134775729
2027,furnishing_stone,1908.5376247300744
2027,glass,34264.90200832969
2027,gravel_sand,605.8055374279721
2027,gypsum,9898.572737667002
2027,isolation,1668.797420097106
2027,steel,1608.9879325986842
2027,bitumen,43.61108861202918
2027,plaster,5.42999872633809
2028,aluminium,393.5507763858697
2028,brick,1384.7867655833504
2028,cement_cover-floor,276.6396489226416
2028,concrete_in-situ,10827.373285006117
2028,concrete_prefab,52589.263267853305
2028,furnishing_stone,2461.4371558206813
2028,glass,43790.40727538471
2028,gravel_sand,758.113681751019
2028,gypsum,12548.30649123806
2028,isolation,2125.2659003095855
2028,steel,2075.0588717934334
2028,bitumen,54.775443254434094
2028,plaster,7.189206443111412
2029,aluminium,451.0570035002227
2029,brick,1594.6819674007252
2029,cement_cover-floor,319.6874971179106
2029,concrete_in-situ,12402.364864205867
2029,concrete_prefab,60017.39129553713
2029,furnishing_stone,2807.7983423009273
2029,glass,50059.703190625325
2029,gravel_sand,869.0028758294609
2029,gypsum,14366.141848520367
2029,isolation,2429.812531592199
2029,steel,2363.245921891443
2029,bitumen,63.01660813407736
2029,plaster,8.437285733107037
2030,aluminium,500.43898051440476
2030,brick,1790.4884333451525
2030,cement_cover-floor,364.17298422921033
2030,concrete_in-situ,14043.850080955102
2030,concrete_prefab,67418.65223863444
2030,furnishing_stone,3165.3471272280162
2030,glass,56151.79189607276
2030,gravel_sand,965.9768840095413
2030,gypsum,16050.613640851587
2030,isolation,2728.2784690105113
2030,steel,2662.0951216303683
2030,bitumen,70.14089182100547
2030,plaster,9.62340917483068
2031,aluminium,533.799071628599
2031,brick,1933.5508517637138
2031,cement_cover-floor,397.9124886850114
2031,concrete_in-situ,15211.164425547577
2031,concrete_prefab,72474.51787398043
2031,furnishing_stone,3408.9804561136907
2031,glass,60301.5318111118
2031,gravel_sand,1032.8227410404945
2031,gypsum,17197.49281045638
2031,isolation,2936.9040122244264
2031,steel,2869.0198514656827
2031,bitumen,75.00504991918353
2031,plaster,10.523200920678521
2032,aluminium,551.9294752332582
2032,brick,2032.6731349941758
2032,cement_cover-floor,424.6205992270604
2032,concrete_in-situ,16022.229011149664
2032,concrete_prefab,75514.88899054058
2032,furnishing_stone,3560.845157037899
2032,glass,62812.74832551566
2032,gravel_sand,1071.0617794586633
2032,gypsum,17869.395414592025
2032,isolation,3068.1561918644807
2032,steel,2998.1616941190973
2032,bitumen,77.75277609511473
2032,plaster,11.219232456278254
2033,aluminium,556.1419813368252
2033,brick,2075.483685420302
2033,cement_cover-floor,439.46220618837145
2033,concrete_in-situ,16478.0893718877
2033,concrete_prefab,77046.55138022182
2033,furnishing_stone,3646.3810658658667
2033,glass,64003.84642169005
2033,gravel_sand,1082.2716401866005
2033,gypsum,18133.951962874595
2033,isolation,3131.610076915787
2033,steel,3069.6687121189602
2033,bitumen,78.56736842528026
2033,plaster,11.57178125875241
2034,aluminium,556.1419813368252
2034,brick,2075.483685420302
2034,cement_cover-floor,439.46220618837145
2034,concrete_in-situ,16478.0893718877
2034,concrete_prefab,77046.55138022182
2034,furnishing_stone,3646.3810658658667
2034,glass,64003.84642169005
2034,gravel_sand,1082.2716401866005
2034,gypsum,18133.951962874595
2034,isolation,3131.610076915787
2034,steel,3069.6687121189602
2034,bitumen,78.56736842528026
2034,plaster,11.57178125875241
