year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
2023,0,0,0.0,0,0.0,{},{},0.0,0.0,0.0
2024,0,0,10695.804608381322,0,10695.804608381322,"{'aluminium': 36.69392521161738, 'brick': 112.14684948329072, 'cement_cover-floor': 16.535401008956462, 'concrete_in-situ': 728.7169188727398, 'concrete_prefab': 4490.863501473643, 'furnishing_stone': 192.79108063511924, 'glass': 3610.7284816402243, 'gravel_sand': 70.97318155163036, 'gypsum': 1085.043296859839, 'isolation': 182.0571451861729, 'steel': 163.80551706079888, 'bitumen': 5.011603334978298, 'plaster': 0.43770606231504805}",{},40626124.90167994,129748.64955161668,259497.29910323335
2025,0,0,35878.93398508194,0,35878.93398508194,"{'aluminium': 114.18431152241367, 'brick': 378.97665151881984, 'cement_cover-floor': 68.51149739946922, 'concrete_in-situ': 2815.2228770936463, 'concrete_prefab': 14738.01309379755, 'furnishing_stone': 671.3496419684333, 'glass': 12151.055057393194, 'gravel_sand': 219.9079190264152, 'gypsum': 3541.0800700059813, 'isolation': 594.8562956142936, 'steel': 568.3669359205227, 'bitumen': 15.679610536666916, 'plaster': 1.7300232845333687}",{},136327700.69668227,435458.8762474622,870917.7524949244
2026,0,0,68166.31627038712,0,68166.31627038712,"{'aluminium': 218.23242196761294, 'brick': 728.3318870173629, 'cement_cover-floor': 133.89156183526234, 'concrete_in-situ': 5406.237634314808, 'concrete_prefab': 27865.020515283948, 'furnishing_stone': 1273.050951106413, 'glass': 23137.174684236412, 'gravel_sand': 418.94099594838326, 'gypsum': 6753.980322071985, 'isolation': 1126.1105852927387, 'steel': 1071.8292914272736, 'bitumen': 30.078574727198788, 'plaster': 3.4368451574978285}",{},259029377.06013763,827421.74324014,1654843.48648028
2027,0,0,101110.17751806662,0,101110.17751806662,"{'aluminium': 314.723766094515, 'brick': 1086.4276837860061, 'cement_cover-floor': 210.0176089265542, 'concrete_in-situ': 8284.229335341164, 'concrete_prefab': 41210.134775729, 'furnishing_stone': 1908.5376247300744, 'glass': 34264.90200832969, 'gravel_sand': 605.8055374279721, 'gypsum': 9898.572737667002, 'isolation': 1668.797420097106, 'steel': 1608.9879325986842, 'bitumen': 43.61108861202918, 'plaster': 5.42999872633809}",{},384260109.66020787,1227510.5008720893,2455021.0017441786
2028,0,0,129292.16776974712,0,129292.16776974712,"{'aluminium': 393.5507763858697, 'brick': 1384.7867655833504, 'cement_cover-floor': 276.6396489226416, 'concrete_in-situ': 10827.373285006117, 'concrete_prefab': 52589.263267853305, 'furnishing_stone': 2461.4371558206813, 'glass': 43790.40727538471, 'gravel_sand': 758.113681751019, 'gypsum': 12548.30649123806, 'isolation': 2125.2659003095855, 'steel': 2075.0588717934334, 'bitumen': 54.775443254434094, 'plaster': 7.189206443111412}",{},491381810.6582853,1569733.930952249,3139467.861904498
2029,0,0,147752.34123238936,0,147752.34123238936,"{'aluminium': 451.0570035002227, 'brick': 1594.6819674007252, 'cement_cover-floor': 319.6874971179106, 'concrete_in-situ': 12402.364864205867, 'concrete_prefab': 60017.39129553713, 'furnishing_stone': 2807.7983423009273, 'glass': 50059.703190625325, 'gravel_sand': 869.0028758294609, 'gypsum': 14366.141848520367, 'isolation': 2429.812531592199, 'steel': 2363.245921891443, 'bitumen': 63.01660813407736, 'plaster': 8.437285733107037}",{},561565278.508113,1793970.8584227688,3587941.7168455375
2030,0,0,165921.47015747725,0,165921.47015747725,"{'aluminium': 500.43898051440476, 'brick': 1790.4884333451525, 'cement_cover-floor': 364.17298422921033, 'concrete_in-situ': 14043.850080955102, 'concrete_prefab': 67418.65223863444, 'furnishing_stone': 3165.3471272280162, 'glass': 56151.79189607276, 'gravel_sand': 965.9768840095413, 'gypsum': 16050.613640851587, 'isolation': 2728.2784690105113, 'steel': 2662.0951216303683, 'bitumen': 70.14089182100547, 'plaster': 9.62340917483068}",{},630635770.6451355,2014642.9604151722,4029285.9208303443
2031,0,0,178383.2246448578,0,178383.2246448578,"{'aluminium': 533.799071628599, 'brick': 1933.5508517637138, 'cement_cover-floor': 397.9124886850114, 'concrete_in-situ': 15211.164425547577, 'concrete_prefab': 72474.51787398043, 'furnishing_stone': 3408.9804561136907, 'glass': 60301.5318111118, 'gravel_sand': 1032.8227410404945, 'gypsum': 17197.49281045638, 'isolation': 2936.9040122244264, 'steel': 2869.0198514656827, 'bitumen': 75.00504991918353, 'plaster': 10.523200920678521}",{},678027748.3138108,2166079.7769107046,4332159.553821409
2032,0,0,186015.681782284,0,186015.681782284,"{'aluminium': 551.9294752332582, 'brick': 2032.6731349941758, 'cement_cover-floor': 424.6205992270604, 'concrete_in-situ': 16022.229011149664, 'concrete_prefab': 75514.88899054058, 'furnishing_stone': 3560.845157037899, 'glass': 62812.74832551566, 'gravel_sand': 1071.0617794586633, 'gypsum': 17869.395414592025, 'isolation': 3068.1561918644807, 'steel': 2998.1616941190973, 'bitumen': 77.75277609511473, 'plaster': 11.219232456278254}",{},707085870.1111594,2258976.1813889504,4517952.362777901
