year,material,emissions
2023,concrete_in-situ,0.0
2023,concrete_prefab,0.0
2023,gravel_sand,0.0
2023,biobased,0.0
2023,steel,0.0
2023,glass,0.0
2023,furnishing_stone,0.0
2023,timber,0.0
2024,concrete_in-situ,317.72206323959153
2024,concrete_prefab,276.04805685407206
2024,gravel_sand,159.8908617628326
2024,biobased,1272.108011835656
2024,steel,36.38275065549477
2024,glass,1127.007982321075
2024,furnishing_stone,58.94739048257504
2024,timber,9232.925395472757
2025,concrete_in-situ,1205.2644460282454
2025,concrete_prefab,890.7212168347867
2025,gravel_sand,480.4536861113771
2025,biobased,4011.2657514195944
2025,steel,121.0263183869262
2025,glass,3794.985714964672
2025,furnishing_stone,206.9131197979378
2025,timber,32700.35960920141
2026,concrete_in-situ,2300.154884093571
2026,concrete_prefab,1689.2736939059166
2026,gravel_sand,916.0382569128956
2026,biobased,7609.862413754453
2026,steel,228.84069586109382
2026,glass,7224.307568016927
2026,furnishing_stone,393.06396539780775
2026,timber,61760.971755193066
2027,concrete_in-situ,3495.023477851173
2027,concrete_prefab,2487.761443714177
2027,gravel_sand,1307.8954918018155
2027,biobased,11166.53722836214
2027,steel,343.14581029353417
2027,glass,10685.90048042461
2027,furnishing_stone,590.2346778417927
2027,timber,93787.35946633702
2028,concrete_in-situ,4561.429036222588
2028,concrete_prefab,3159.6947695534377
2028,gravel_sand,1618.3483926540237
2028,biobased,14123.066979193274
2028,steel,439.1473738684028
2028,glass,13635.326815768176
2028,furnishing_stone,761.6894654026606
2028,timber,122216.32539050172
2029,concrete_in-situ,5199.0780590859895
2029,concrete_prefab,3609.143834505467
2029,gravel_sand,1859.640382947815
2029,biobased,16158.750862772771
2029,steel,501.91122770618574
2029,glass,15567.825165011807
2029,furnishing_stone,868.6779008483945
2029,timber,139630.39631491672
2030,concrete_in-situ,5868.089509410427
2030,concrete_prefab,4038.8711580681584
2030,gravel_sand,2054.0354819797058
2030,biobased,18075.622917855795
2030,steel,568.5327251390934
2030,glass,17460.06002219662
2030,furnishing_stone,980.0248707511084
2030,timber,158539.0746991657
2031,concrete_in-situ,6321.643376317813
2031,concrete_prefab,4329.779692151879
2031,gravel_sand,2181.9201791298074
2031,biobased,19409.018289277177
2031,steel,614.8511038173133
2031,glass,18754.363411040667
2031,furnishing_stone,1055.9918565514
2031,timber,171221.63936756423
2032,concrete_in-situ,6609.641906862393
2032,concrete_prefab,4502.311820843926
2032,gravel_sand,2245.5824673566635
2032,biobased,20228.6376076867
2032,steel,644.9619263177851
2032,glass,19540.90838897656
2032,furnishing_stone,1103.9486268678197
2032,timber,179163.7321321951
2033,concrete_in-situ,6777.408462921317
2033,concrete_prefab,4581.957072459037
2033,gravel_sand,2255.3730784481704
2033,biobased,20569.22045787014
2033,steel,663.745486300421
2033,glass,19915.504557907345
2033,furnishing_stone,1131.2217676755272
2033,timber,184226.0286840862
2034,concrete_in-situ,6777.408462921317
2034,concrete_prefab,4581.957072459037
2034,gravel_sand,2255.3730784481704
2034,biobased,20569.22045787014
2034,steel,663.745486300421
2034,glass,19915.504557907345
2034,furnishing_stone,1131.2217676755272
2034,timber,184226.0286840862
